average_IoU,percentage_above_thresh,observations
0.595792352157941,0.8666666666666667,30
0.22579111910743402,0.0,45
0.46753580226373326,0.8148148148148148,54
0.7169285074483699,0.9636363636363636,55
0.47093391973247356,0.65,100
0.6808355834311761,1.0,60
0.49373389254748296,0.72,50
0.4979548874240268,0.6625,80
0.23811795850364814,0.36,50
0.5558782238483354,0.94,50
0.6564378436485558,1.0,30
0.5665349765440872,0.9714285714285714,70
0.1480231270091916,0.17647058823529413,34
0.36931072579587576,0.6,50
0.06660851616234381,0.11428571428571428,70
0.5385699640552144,1.0,40
0.41994337746682653,0.65,20
0.15950280568034086,0.23333333333333334,60
0.5546388665843385,0.85,40
0.5447233435635558,0.9,50
0.09600787275434149,0.0,35
0.4061112530999836,0.6,40
0.7098622498393591,1.0,50
0.32074822056698515,0.46153846153846156,117
0.6869124195492771,0.8888888888888888,54
0.0,0.0,60
0.5397230491006804,0.7965116279069767,172
0.45021026315676366,0.72,50
0.0,0.0,75
0.19853447287679843,0.2962962962962963,54
0.4006391859422326,0.65,60
0.313775077107156,0.4857142857142857,70
0.23335516323211594,0.3877551020408163,49
0.47297949776278747,0.68,50
0.49670166140395294,0.8285714285714286,70
0.039980592163925056,0.05128205128205128,78
0.4960085078693514,0.7714285714285715,70
0.5703385666136799,0.9777777777777777,45
0.5994373839243313,0.9,40
0.6418665188640802,1.0,70
0.004692679824930559,0.0,42
