frame,left,top,right,bottom
33,566,279,626,399
34,561.3284912109375,281.07647705078125,622.5284881591797,403.4764709472656
35,557.0148315429688,284.29998779296875,617.0148315429688,404.29998779296875
36,545,288,611.9927787780762,404.0742721557617
37,545,287,612.6162528991699,404.98082733154297
38,535,258,612,413
39,536,262,613,416
40,533,223,629,415
41,534,273,594,417
42,533,268,592,414
43,534,271,588,414
44,535,272,584,415
45,535,269,581,416
46,528,272,580,415
47,528,273,580,415
48,519,269,575,413
49,519,269,575,413
50,496,269,569,415
51,486,272,565,417
52,480,279,560,417
53,478,282,558,418
54,476,275,558,419
55,475,277,554,419
56,473,273,551,419
57,572.1721801757812,278.5462341308594,632.1721725463867,398.5462188720703
58,472,191,561,418
59,571.1409301757812,278.6663818359375,631.1409225463867,398.66636657714844
60,571.7799682617188,278.95306396484375,631.7799606323242,398.9530487060547
61,571.740478515625,278.0393371582031,632.9404716491699,400.43932342529297
62,24,114,183,491
63,471,233,534,423
64,38,149,175,493
65,433,283,519,433
66,427,283,516,433
67,425,276,516,434
68,422,284,509,435
69,424,276,507,435
70,425,285,507,437
71,422,274,500,436
72,410,142,517,439
73,392,147,534,442
74,423,281,479,434
75,422,286,475,435
76,566.9755249023438,279.5640563964844,628.1755180358887,401.9640426635742
77,566.7412109375,278.86334228515625,627.9412040710449,401.2633285522461
78,568.8461303710938,279.66693115234375,628.8461227416992,399.6669158935547
79,374,291,456,438
80,365,307,450,438
81,363,286,447,441
82,359,287,443,444
83,361,295,442,444
84,361,294,441,444
85,361,287,436,446
86,357,292,427,446
87,355,289,420,449
88,353,290,416,449
89,351,288,410,449
90,350,290,407,449
91,351,290,407,449
92,338,301,400,455
93,338,300,400,455
94,323,295,399,459
95,311,298,398,465
96,567.5950317382812,278.5118408203125,628.7950248718262,400.91182708740234
97,520,209,598,379
98,514,196,598,381
99,299,299,376,468
100,514,194,610,381
101,519,204,612,381
102,521,208,612,381
103,269,489,342,575
104,269,489,342,576
105,560.2360229492188,313.88812255859375,621.4360160827637,436.2881088256836
106,275,302,335,469
107,563.6346435546875,316.91119384765625,624.8346366882324,439.3111801147461
108,564.6342163085938,318.34808349609375,625.8342094421387,440.7480697631836
109,567.1822509765625,322.1316833496094,627.182243347168,442.1316680908203
