frame,left,top,right,bottom
2,496,387,567,568
3,496,387,567,567
4,490,370,571,576
5,490,365,565.4250106811523,547.9734039306641
6,492,351,561.7965927124023,534.1774749755859
7,495,351,560.3183288574219,526.5301666259766
8,488,344,556.8881912231445,514.7303161621094
9,487,337,560,568
10,488,337,555.5414237976074,503.06080627441406
11,489,326,561,569
12,488,321,560,561
13,485,323,561,551
14,485,323,561,551
15,487,308,561,541
16,488,305,558,523
17,485,294,552,498
18,484,294,553,491
19,484,290,550,486
20,485,282,557,486
21,483,282,549.8363647460938,445.9538116455078
22,485,276,549.846435546875,440.7281951904297
23,484.84088134765625,268.0032958984375,549.1477661132812,431.94056701660156
24,484.98095703125,268.00067138671875,549.287841796875,431.9379425048828
25,485,265,544,478
26,483,261,550,477
27,483.4602355957031,257.080322265625,546.5062026977539,417.8031311035156
28,482,249,538,444
29,481,251,539,429
30,478,238,538,419
31,485,231,535,402
32,486,232,536,404
33,474,223,541.3980712890625,383.49151611328125
34,475,224,539,424
35,475,224,539,424
36,475,221,538,428
37,476,217,535,411
38,475,210,536,416
39,476,201,532,397
40,475,196,533,382
41,475,192,534,366
42,475,192,535,364
43,474,186,534,360
44,472,181,530,365
45,474,178,532,366
46,473,178,533,365
47,473,175,532,363
48,473,176,532,363
49,475,177,530,357
50,475,176,538.4768371582031,331.7967987060547
51,473,168,536.3251037597656,322.7135772705078
52,471,157,529,334
53,470,153,531.8375244140625,302.5517883300781
54,470,146,529.7966918945312,299.8112335205078
55,468,148,526,310
56,467,143,525,319
57,466,143,524,314
58,466,140,522,314
59,466,139,521,315
