frame_name,person_id,left,top,right,bottom
0,1,567,404,696,574
1,1,573,400,698,574
2,1,569,387,701,572
3,1,559,386,704,569
4,1,573,377,700,564
5,1,581,371,693,550
6,1,585,369,687,547
7,1,585,366,677,534
7,2,507,168,528,202
8,1,584,367,676,534
9,1,587,352,661,526
10,1,578,342,655,519
11,1,572,344,648,514
12,1,563,341,638,515
13,1,545,334,629,516
14,1,533,333,629,517
15,1,531,338,611,507
15,2,504,168,528,211
16,1,543,321,605,506
17,1,542,318,607,484
18,1,538,321,612,483
22,1,439,299,590,572
25,1,481,292,566,434
26,1,476,282,558,441
27,1,473,279,557,439
28,1,475,289,552,438
29,1,472,289,551,441
30,1,469,274,552,449
31,1,469,275,553,450
32,1,470,274,546,434
33,1,473,246,525,424
36,1,465,251,513,417
40,1,430,244,495,413
41,1,437,238,494,410
42,1,423,242,493,409
43,1,421,240,490,408
44,1,421,233,482,398
45,1,415,228,476,390
46,1,506,168,528,205
47,1,506,168,528,204
49,1,406,224,460,377
50,1,358,202,460,369
51,1,387,213,458,376
52,1,376,216,456,378
53,1,376,220,451,377
54,1,378,216,449,377
55,1,374,218,449,377
56,1,365,216,451,379
57,1,320,214,450,377
