sequence,frame,IoU
0,30,0.6392523364485981
0,31,0.6247479499932787
0,32,0.6967320261437908
0,33,0.0
0,34,0.0
0,35,0.0
0,36,0.0
0,37,0.0
0,38,0.8216216216216217
0,39,0.0
0,40,0.7042600344742674
0,41,0.5670094998822328
0,42,0.7340631036703155
0,43,0.6438170013589009
0,44,0.8101780185758514
0,45,0.7715811965811966
0,46,0.30180878552971574
0,47,0.294595008421375
0,48,0.0
0,49,0.7515475179026581
0,50,0.4235559964726631
0,51,0.759377211606511
0,52,0.7116018710221609
0,53,0.6711760184473482
0,54,0.6643565915892267
0,55,0.6576810908804288
0,56,0.5601327606403749
0,57,0.39799683711122824
0,58,0.0
0,59,0.0
1,30,0.3415485765759832
1,31,0.35009039388672347
1,32,0.31303772927621104
1,33,0.2904343018616977
1,34,0.2286754137226801
1,35,0.2031583164009518
1,36,0.21659604387092185
1,37,0.22092080978769116
1,38,0.20938649018587163
1,39,0.21518854070676835
1,40,0.21285796916968694
1,41,0.27227800776320527
1,42,0.3104224011794859
1,43,0.2623941026410491
1,44,0.2227659558454678
1,45,0.22458877488316156
1,46,0.0
1,47,0.0
1,48,0.23645776864922005
1,49,0.2089316920010459
1,50,0.20037672715469926
1,51,0.2290117158963543
1,52,0.22766910332464302
1,53,0.24605618235402732
1,54,0.21719885408649972
1,55,0.22162483730083793
1,56,0.2234830889003458
1,57,0.25231617193033207
1,58,0.25369433511703116
1,59,0.2350451897994427
1,60,0.21630259669734808
1,61,0
1,62,0
1,63,0
1,64,0
1,65,0
1,66,0
1,67,0
1,68,0
1,69,0
1,70,0
1,71,0
1,72,0
1,73,0
1,74,0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,0.7540136054421769
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,0.0
2,46,0.0
2,47,0.0
2,48,0.0
2,49,0.0
2,50,0.0
2,51,0.0
2,52,0.0
2,53,0.0
2,54,0.0
2,55,0.0
2,56,0.0
2,57,0.0
2,58,0.0
2,59,0.0
2,60,0.0
2,61,0.0
2,62,0.0
2,63,0.0
2,64,0.0
2,65,0.6952195880295375
2,66,0.7262452571244046
2,67,0.0
2,68,0.0
2,69,0.676251759501307
2,70,0.6104651162790697
2,71,0.0
2,72,0.0
2,73,0.0
2,74,0.0
2,75,0.0
2,76,0.0
2,77,0.0
2,78,0.0
2,79,0.1731495661051557
2,80,0.0
2,81,0.0
2,82,0.0
2,83,0.0
3,30,0.8208338550143984
3,31,0.7685856146001073
3,32,0.7970459081836327
3,33,0.825
3,34,0.7988095238095239
3,35,0.8246085718804365
3,36,0.7880784313725491
3,37,0.8011022044088176
3,38,0.8612474494016434
3,39,0.8779440770390997
3,40,0.7509416195856874
3,41,0.722482258795108
3,42,0.7052722558340536
3,43,0.0
3,44,0.7741750593629739
3,45,0.7707142857142857
3,46,0.6580328423903843
3,47,0.7668897882938979
3,48,0.7890867798230935
3,49,0.7634836427939876
3,50,0.7785212812637121
3,51,0.0
3,52,0.0
3,53,0.0
3,54,0.0
3,55,0.0
3,56,0.0
3,57,0.7125744047619048
3,58,0.7967320261437908
3,59,0.7819407275250273
3,60,0.8345375722543352
3,61,0.8301169590643275
3,62,0.8420542635658915
3,63,0.7657975099835564
3,64,0.7205830903790087
3,65,0.7883381924198251
3,66,0.0
3,67,0.0
3,68,0.6969376359254688
3,69,0.0
3,70,0.6777493606138107
3,71,0.6378698224852071
3,72,0.7029818956336529
3,73,0.8090190441969098
3,74,0.7016718913270638
3,75,0.7310344827586207
3,76,0.7466529351184346
3,77,0.0
3,78,0.0
3,79,0.0
3,80,0.7129272680544847
3,81,0.6856023506366308
3,82,0.6948944526264114
3,83,0.5716675962074735
3,84,0.7468487394957983
