frame,left,top,right,bottom
30,472,287,557,448
31,470,277,555,449
32,472,271,545,434
32,501,169,528,220
33,512,422,637.2060699462891,580.8793487548828
34,523,428,642,571
35,551,427,648,544
36,501,168,528,217
37,567,430,663.5888214111328,582.5364837646484
38,459,252,503,413
39,569,428,663,543
40,433,237,495,417
41,439,233,496,411
42,422,240,494,407
43,418,231,491,409
43,506,168,528,203
44,421,234,482,398
44,506,168,527,202
45,419,233,476,391
45,501,167,528,216
46,359,192,463,373
46,507,167,528,204
47,362,192,466,375
47,506,168,528,205
48,505,168,528,207
49,407,230,460,376
50,353,201,460,368
50,499,168,528,222
51,388,214,459,370
51,500,169,528,220
52,375,218,455,378
52,497,169,527,223
53,379,219,453,373
53,499,168,527,221
54,380,219,452,376
54,500,168,527,220
55,378,218,448,381
56,360,216,452,379
57,334,216,450,375
57,498,169,527,220
58,9,45,92,147
59,9,45,93,148
