frame,left,top,right,bottom
27,520,274,590,448
28,518.1943359375,268.5577392578125,591.022331237793,449.5873260498047
29,518.8624267578125,268.43267822265625,591.6904220581055,449.46226501464844
30,518.3233642578125,265.6601867675781,591.1513595581055,446.6897735595703
31,518.9443969726562,258.998779296875,590.3443908691406,436.478759765625
32,518.6370239257812,256.73284912109375,590.0370178222656,434.21282958984375
33,520.3688354492188,253.4142608642578,588.9962844848633,424.0024871826172
34,515,227,587.4705276489258,418.5836944580078
35,519.4088745117188,247.78329467773438,588.0363159179688,418.3715057373047
36,518,227,589.9718170166016,419.94480895996094
37,517,234,588.9637908935547,418.41697692871094
38,59,5,156,159
39,519.6793823242188,237.39703369140625,589.6793670654297,411.39698791503906
40,520,227,590.2084808349609,407.17921447753906
41,61,5,157,159
42,521.1813354492188,227.96551513671875,589.8087692260742,398.5537109375
43,65,6,157,158
44,520.9720458984375,218.14486694335938,589.599479675293,388.7330627441406
45,521.5404052734375,217.24400329589844,588.8222045898438,384.48731994628906
46,521.6884765625,218.20413208007812,587.6510238647461,382.1681671142578
47,521.6588745117188,215.84902954101562,587.6214218139648,379.8130645751953
48,520.8958740234375,212.68174743652344,588.1776733398438,379.92506408691406
49,520.050048828125,208.73468017578125,588.6774826049805,379.32286071777344
50,519,202,587.9128952026367,376.2718963623047
51,58,6,157,163
52,517.1234130859375,200.54710388183594,584.4052047729492,367.79042053222656
53,517.0919189453125,200.43714904785156,584.3737106323242,367.6804656982422
54,516.3447875976562,198.19491577148438,582.3073272705078,362.15895080566406
55,516.3613891601562,198.46530151367188,582.3239288330078,362.42933654785156
56,513,185,581.7729644775391,359.9558563232422
57,514.2520751953125,192.00653076171875,581.5338668823242,359.2498321533203
58,511,188,579.8779449462891,353.8225860595703
59,508,173,576,336
60,508,166,576,334
61,510,173,578.8035430908203,346.34959411621094
62,509,170,577.7097320556641,342.5143280029297
63,509,170,577.4116973876953,343.14125061035156
64,510,168,576.3339996337891,339.65916442871094
65,511,168,577.0655670166016,340.9703674316406
66,512,167,575.9859085083008,336.6340789794922
67,512,170,575.9069900512695,334.40696716308594
68,512,170,576.620735168457,331.65370178222656
69,513,162,576.6654739379883,328.32212829589844
70,513,157,580,316
71,511,161,575.5476150512695,318.4506378173828
72,507,148,577,303
73,511,159,575.0241165161133,314.9470672607422
74,510.798828125,154.2257080078125,574.1999588012695,311.8227996826172
75,508,145,572,290
76,509,150,573.9626579284668,305.3271179199219
77,506,138,569,292
78,30,473,121,575
79,508.9302978515625,145.44540405273438,569.8694839477539,296.9228057861328
