frame,left,top,right,bottom
24,356,51,403,180
25,356,51,402.4819641113281,179.93567657470703
26,349,48,416,180
27,349,48,416,180
28,349,48,417,182
29,346,42,420,181
30,349,46,416,180
31,363,263,417,386
32,350,50,401.8548583984375,179.97505950927734
33,351,50,400.856201171875,178.74201583862305
34,347,50,401.0335693359375,179.08051681518555
35,347,50,400.74536514282227,178.1673583984375
36,360,268,422,417
37,360,268,422,417
38,348,49,400.3045959472656,179.40585327148438
39,359,265,424,392
40,345,49,399.9822692871094,179.45551300048828
41,344,45,399.70276260375977,178.21299362182617
42,354.0466613769531,54.3803596496582,399.2215919494629,178.37112045288086
43,354.1275939941406,54.39670944213867,399.3025245666504,178.38747024536133
44,343,36,399.4889259338379,178.27054977416992
45,343,36,399.66379165649414,178.15847396850586
46,343,45,398.96982192993164,178.43316268920898
47,343,45,398.9995765686035,178.31840896606445
48,342,30,399.13953018188477,178.34486770629883
49,0,313,288,573
50,345,31,399.3990821838379,178.5386619567871
51,346,34,400.05868911743164,178.68121719360352
52,345,32,399.58675384521484,177.95040893554688
53,342,32,399.8490333557129,178.74067306518555
54,342,32,399.3188705444336,177.91067504882812
55,343,30,399.8342933654785,178.76916885375977
56,343,30,399.60579681396484,178.0030517578125
57,146,286,223,445
58,146,286,223,445
59,151,287,228,429
60,155,284,235,433
61,161,286,252,432
62,165,287,257,434
63,165,287,257,434
64,173,284,263,428
65,173,284,263,428
66,175,282,263,426
67,175,282,263,426
68,185,280,270,424
69,187,280,266,421
70,364,27,443,204
71,191,276,267,417
72,196,274,269,410
73,199,273,271,416
74,204,272,271,413
75,204,272,271,413
76,207,268,275,414
77,212,267,278,414
78,212,267,278,414
79,217,265,290,413
80,217,265,290,413
81,219,262,290,413
82,223,263,297,415
83,225,263,303,412
84,232,257,295,411
85,233,256,298,409
86,237,247,294,403
87,237,247,294,403
88,355.243408203125,55.08306884765625,399.53255462646484,176.64263916015625
89,355.37872314453125,55.00847625732422,399.6678695678711,176.56804656982422
90,239,239,301,399
91,239,239,301,399
92,245,237,305,399
93,247,234,310,390
94,248,230,315,387
95,249,232,318,383
96,259,231,321,382
97,259,231,321,382
98,261,229,317,383
99,261,229,317,383
100,265,228,321,381
101,265,228,321,381
102,269,227,320,381
103,271,225,330,374
104,270,224,337,388
105,275,223,335,380
106,274,222,335,378
107,412,40,496,199
108,412,40,496,199
109,283,216,344,366
110,283,216,344,366
111,286,217,345,371
112,286,217,345,371
113,291,215,345,368
114,287,214,348,364
115,355.44561767578125,56.84687423706055,398.86634826660156,176.02292251586914
116,354.7806701660156,56.984073638916016,398.20140075683594,176.1601219177246
117,339,252,396,434
118,339,252,396,434
119,354.5105895996094,55.84832763671875,398.7997360229492,177.40789794921875
120,354.9341125488281,55.86664581298828,399.22325897216797,177.42621612548828
121,355.0222473144531,55.92103576660156,399.31139373779297,177.48060607910156
122,355.1047058105469,55.97339630126953,399.3938522338867,177.53296661376953
123,355.2327880859375,56.022613525390625,399.52193450927734,177.58218383789062
124,355.28546142578125,56.0948486328125,399.5746078491211,177.6544189453125
125,355.2701721191406,56.287017822265625,399.55931854248047,177.84658813476562
126,355.4267272949219,55.91920471191406,399.7158737182617,177.47877502441406
127,355.439697265625,56.013404846191406,399.72884368896484,177.5729751586914
128,355.4527282714844,56.09907531738281,399.7418746948242,177.6586456298828
129,355.4301452636719,56.1015625,399.7192916870117,177.6611328125
130,355.4075012207031,56.101219177246094,399.69664764404297,177.6607894897461
131,355.4466552734375,56.184410095214844,399.73580169677734,177.74398040771484
132,355.040283203125,55.04831314086914,400.21521377563477,179.0390739440918
133,355.6503601074219,55.790626525878906,399.9395065307617,177.3501968383789
134,355.56451416015625,55.87041473388672,399.8536605834961,177.42998504638672
135,335,175,402,333
136,427,35,477,163
137,355.6712341308594,56.05104064941406,399.9603805541992,177.61061096191406
138,355.3301086425781,55.00746536254883,400.5050392150879,178.99822616577148
139,350,172,410,329
140,350,172,410,329
141,354,173,410,325
142,354,173,410,325
143,355.8532409667969,55.62104797363281,400.1423873901367,177.1806182861328
144,367,168,419,279
145,355.7782287597656,55.848533630371094,400.06737518310547,177.4081039428711
146,373,167,424,264
147,355.7071533203125,56.054359436035156,399.99629974365234,177.61392974853516
148,355.1865539550781,55.03337478637695,400.3614845275879,179.0241355895996
149,355.64520263671875,55.715606689453125,399.9343490600586,177.27517700195312
150,355.54107666015625,55.888641357421875,399.8302230834961,177.44821166992188
151,355.4417419433594,56.053611755371094,399.7308883666992,177.6131820678711
152,354.90411376953125,55.0081672668457,400.079044342041,178.99892807006836
153,355.3279724121094,55.707374572753906,399.6171188354492,177.2669448852539
154,482,9,533,155
155,485,8,531,158
156,308,264,390,404
157,488,4,541,155
158,488,3,543,156
159,492,2,539,153
160,305,264,391,476
161,305,264,391,476
162,355.20086669921875,55.86164855957031,399.4900131225586,177.4212188720703
163,355.0787353515625,56.00927734375,399.36788177490234,177.56884765625
164,354.9665222167969,56.156898498535156,399.2556686401367,177.71646881103516
165,354.4168395996094,55.08158493041992,399.59177017211914,179.07234573364258
166,354.877197265625,55.765525817871094,399.16634368896484,177.3250961303711
167,354.80194091796875,55.899269104003906,399.0910873413086,177.4588394165039
168,355.26470947265625,55.95835876464844,399.5538558959961,177.51792907714844
169,355.1534118652344,56.08727264404297,399.4425582885742,177.64684295654297
170,355.04608154296875,56.20928955078125,399.3352279663086,177.76885986328125
171,354.5289611816406,55.165584564208984,399.7038917541504,179.15634536743164
172,355.0303649902344,55.914878845214844,399.3195114135742,177.47444915771484
173,354.9241027832031,56.07916259765625,399.21324920654297,177.63873291015625
174,354.3697204589844,55.01308822631836,399.54465103149414,179.00384902954102
175,355.4066162109375,55.590248107910156,399.69576263427734,177.14981842041016
176,355.288818359375,55.71941375732422,399.57796478271484,177.27898406982422
177,433,135,493,280
178,355.14569091796875,55.85205841064453,399.4348373413086,177.41162872314453
179,355.0079650878906,55.980064392089844,399.29711151123047,177.53963470458984
