frame,left,top,right,bottom
9,248,115,301,265
10,250,117,302.00819396972656,264.85131072998047
11,252,125,312,268
12,251,127,308.7829895019531,273.12023162841797
13,254,126,311.3335266113281,275.4600372314453
14,259,121,314.63344955444336,279.9525833129883
15,265,126,317.4399871826172,283.4460906982422
16,265,127,321.8719062805176,288.2227020263672
17,268,127,323.960994720459,291.8691864013672
18,269,128,326.0817451477051,291.62742614746094
19,271,130,327.3389778137207,292.67921447753906
20,273,132,329.1098823547363,293.2222900390625
21,273,132,328.5374336242676,291.45298767089844
22,275,137,328.85306549072266,290.92616271972656
23,275,137,328.55423736572266,290.5110321044922
24,274,142,330.7657241821289,291.5005645751953
25,276,140,331.74954986572266,293.12791442871094
26,276,138,333.32926177978516,294.5453338623047
27,279,142,335.43460845947266,296.9124298095703
28,284,138,337.8129348754883,302.61988830566406
29,286,149,339.13370513916016,303.83384704589844
30,285.8967590332031,148.70237731933594,342.1407661437988,307.88352966308594
31,285,149,343.03154373168945,308.9891815185547
32,288,146,347.0644111633301,312.7322082519531
33,290.8125915527344,151.451171875,349.32885360717773,317.063232421875
34,292.58343505859375,154.44468688964844,349.95232009887695,316.80946350097656
35,293.9388122558594,154.45643615722656,352.45507431030273,320.06849670410156
36,296.2810974121094,157.43687438964844,353.6499824523926,319.80165100097656
37,299.7987365722656,159.5524139404297,357.1676216125488,321.9171905517578
38,299.584716796875,159.66647338867188,358.10097885131836,325.2785339355469
39,307,163,360.117977142334,327.44862365722656
40,312,169,362.00429916381836,329.5222473144531
41,312,169,362.26525497436523,329.67608642578125
42,312,169,363.2474021911621,332.1174011230469
43,315,164,369.76501083374023,336.10801696777344
44,312.82537841796875,172.26931762695312,371.3416404724121,337.8813781738281
45,314.6158447265625,174.31683349609375,373.13210678100586,339.92889404296875
46,319,170,377.8334312438965,341.83673095703125
47,317,173,379.633846282959,343.7976379394531
48,323.30889892578125,179.14630126953125,382.99548721313477,348.0706024169922
49,324,172,385.3075637817383,350.3596954345703
50,321,178,385.38343048095703,350.2450714111328
51,321,159,386.27407455444336,347.6068115234375
52,331,181,390.22946548461914,351.61900329589844
53,332.45782470703125,185.18734741210938,390.9740867614746,350.7994079589844
54,334,198,393.36730575561523,352.95635986328125
55,338,232,393.76518630981445,352.7556915283203
56,337,195,395.559383392334,356.8373718261719
57,332,194,396.3405113220215,357.2270202636719
58,341,201,398.69650650024414,362.7664337158203
59,343,204,401.3535804748535,365.70997619628906
60,343,209,403.1900978088379,367.76991271972656
61,348,223,405.6394691467285,373.7754364013672
62,348.2078552246094,206.11581420898438,407.8944435119629,375.0401153564453
63,339,229,408.52685928344727,377.36228942871094
64,351.2755126953125,211.45144653320312,410.962100982666,380.37574768066406
65,355,221,410.75680923461914,381.51380920410156
66,356,222,412.16882705688477,380.77333068847656
67,353,221,412.380428314209,380.4322204589844
68,355.43878173828125,216.40765380859375,413.9550437927246,382.01971435546875
69,357.22967529296875,218.226806640625,415.7459373474121,383.8388671875
70,363,239,418.62316513061523,387.5498352050781
71,365,235,418.1706428527832,388.9536895751953
72,367,235,420.2261848449707,390.41859436035156
73,369,227,421.8972053527832,392.95872497558594
74,361,230,423.9986228942871,398.41552734375
75,365,223,424.4499092102051,396.23606872558594
76,373,239,426.0152473449707,398.6543731689453
77,368,240,428.4333076477051,402.4673614501953
78,369,243,431.0269966125488,404.5802307128906
79,375,250,435.6182441711426,407.74365234375
80,372,251,437.0565376281738,409.5926818847656
81,374,255,442.9819221496582,413.14990234375
82,374,256,442.2013130187988,413.2390441894531
83,382,257,445.18584060668945,417.3374328613281
84,382,258,445.1517219543457,417.2891845703125
85,386,257,446.86101150512695,418.66607666015625
86,392,254,449.4865913391113,420.17938232421875
87,392,261,450.7959785461426,422.7344055175781
88,390,262,452.4993362426758,423.8639678955078
89,390,266,453.8873062133789,427.92442321777344
