frame,left,top,right,bottom
28,363,121,417,267
29,363,124,415,269
30,364,127,415,273
31,364,126,415,273
32,363,130,415,281
33,362,135,415,287
34,362,134,414,290
35,361,139,413,293
36,360,145,414,298
37,359,147,413,299
38,358,151,412,301
39,357,150,412,301
40,356,137,412,301
41,355,155,412,302
42,355,155,411,302
43,355,160,411,298
44,352,157,411,316
45,352,159,411,319
46,351,165,411,324
47,348,167,411,327
48,347,166,411,337
49,348,169,412,332
50,349,171,412,336
51,350,175,412,344
52,347,178,413,345
53,347,180,414,346
54,346,180,414,347
55,350,188,410,348
56,349,189,411,359
57,347,197,410,370
58,346,199,410,378
59,345,209,409,359
60,346,208,406,371
61,346,208,406,371
62,344,211,406,379
63,345,215,409,387
64,341,216,409,386
65,341,217,409,391
66,342,223,407,392
67,340,223,405,393
68,341,226,405,396
69,337,231,406,408
70,336,234,404,416
71,526,44,565,202
72,527,45,567,211
73,527,45,566,207
74,330,250,403,438
75,332,257,405,444
76,328,256,405,445
77,330,260,403,445
78,330,260,403,442
79,331,263,404,443
